OBJECTID,plotid,longitude,latitude,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape.1,shape.2,shape.3,shape.4,shape.5,shape.6,shape.7,shape.8,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1.1,shape 1.2,shape 1.3,shape 1.4,shape 1.5,shape 1.6,shape 1.7,shape 1.8,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x_AOI,y_AOI,Median Income_AOI,Min Distance,AOI,Average Income_AOI,Latitude,Longitude,Date,ECO_L2T_LSTE_002_LST,ECO_L2T_LSTE_002_LST_err,ECO_L2T_LSTE_002_QC,ECO_L2T_LSTE_002_QC_bitmask,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags_Description,ECO_L2T_LSTE_002_QC_Data_quality_flag,ECO_L2T_LSTE_002_QC_Data_quality_flag_Description,ECO_L2T_LSTE_002_QC_LST_accuracy,ECO_L2T_LSTE_002_QC_LST_accuracy_Description,ObjectId,x_LST,y_LST,AOI Latitude,AOI Longitude,Median Income_LST,Average Income_LST
1,600,-97.764672,30.498494,,100,100,0,,81,7/3/24 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,600,-97.764672,30.498494,,100,100,0,,81,7/3/24 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.764672,30.498494,117987,1798.037859,6,90641.59459,30.498494,-97.764672,2023-11-28 19:23:53 UTC,296.5599976,1,52160,0b1100101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),62531,-97.764672,30.498494,30.498494,-97.764672,117987,90641.59459
2,601,-97.777717,30.487252,,100,100,0,,90,7/3/24 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,601,-97.777717,30.487252,,100,100,0,,90,7/3/24 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.487252,61777,280.492325,6,90641.59459,30.487252,-97.777717,2023-04-13 22:27:58 UTC,300.8599854,1.4400001,36544,0b1000111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b10,1 - 1.5 K (Good performance),57417,-97.777717,30.487252,30.487252,-97.777717,61777,90641.59459
3,602,-97.777717,30.491749,,100,100,0,,80,7/3/24 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,602,-97.777717,30.491749,,100,100,0,,80,7/3/24 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.491749,61777,386.245386,6,90641.59459,30.491749,-97.777717,2023-08-17 20:16:21 UTC,325.3599854,2,18112,0b0100011011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),59561,-97.777717,30.491749,30.491749,-97.777717,61777,90641.59459
4,603,-97.777717,30.496245,,100,100,0,,86,7/3/24 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,603,-97.777717,30.496245,,100,100,0,,86,7/3/24 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.777717,30.496245,61777,846.522199,6,90641.59459,30.496245,-97.777717,2024-06-28 07:08:51 UTC,300.8599854,2.52,2496,0b0000100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),60381,-97.777717,30.496245,30.496245,-97.777717,61777,90641.59459
5,604,-97.777717,30.500742,,100,100,0,,78,7/3/24 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,604,-97.777717,30.500742,,100,100,0,,78,7/3/24 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,-97.777717,30.500742,61777,1334.605705,6,90641.59459,30.500742,-97.777717,2024-06-16 11:54:58 UTC,298.019989,2.3199999,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),63931,-97.777717,30.500742,30.500742,-97.777717,61777,90641.59459
6,605,-97.777717,30.505239,,100,100,0,,93,7/3/24 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,605,-97.777717,30.505239,,100,100,0,,93,7/3/24 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.777717,30.505239,61777,1828.341668,6,90641.59459,30.505239,-97.777717,2024-01-09 11:20:26 UTC,280.6199951,0.68,60352,0b1110101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),67640,-97.777717,30.505239,30.505239,-97.777717,61777,90641.59459
7,606,-97.777717,30.509735,,100,100,0,,83,7/3/24 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,606,-97.777717,30.509735,,100,100,0,,83,7/3/24 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.777717,30.509735,61777,2324.020311,6,90641.59459,30.509735,-97.777717,2024-07-02 13:42:57 UTC,304.2200012,2.2,19136,0b0100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70427,-97.777717,30.509735,30.509735,-97.777717,61777,90641.59459
8,607,-97.772499,30.487252,,100,100,0,,80,7/3/24 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,607,-97.772499,30.487252,,100,100,0,,80,7/3/24 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,-97.772499,30.487252,61777,739.1939168,6,90641.59459,30.487252,-97.772499,2022-09-07 04:47:44 UTC,300.1600037,2.5599999,3520,0b0000110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),57997,-97.772499,30.487252,30.487252,-97.772499,61777,90641.59459
9,608,-97.772499,30.491749,,100,100,0,,83,7/5/24 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,608,-97.772499,30.491749,,100,100,0,,83,7/5/24 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.772499,30.491749,61777,785.427077,6,90641.59459,30.491749,-97.772499,2023-11-24 21:00:29 UTC,295.7399902,1,51904,0b1100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),59223,-97.772499,30.491749,30.491749,-97.772499,61777,90641.59459
10,609,-97.772499,30.496245,,100,100,0,,75,7/5/24 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,609,-97.772499,30.496245,,100,100,0,,75,7/5/24 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,-97.772499,30.496245,61777,1088.250212,6,90641.59459,30.496245,-97.772499,2023-06-01 18:52:17 UTC,321.3999939,2.52,2752,0b0000101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),60495,-97.772499,30.496245,30.496245,-97.772499,61777,90641.59459
11,610,-97.772499,30.500742,,100,100,0,,80,7/5/24 21:41,391.3 secs,,0,0,8,0,29,0,0,0,0,24,31,0,1,7,,,,,,,,,,,,,,,,,,,,,610,-97.772499,30.500742,,100,100,0,,80,7/5/24 21:41,391.3 secs,,0,0,8,0,29,0,0,0,0,24,31,0,1,7,,,,,,,,,,,,,,,,,,,,,-97.772499,30.500742,61777,1499.613139,6,90641.59459,30.500742,-97.772499,2023-07-06 04:55:11 UTC,303.019989,2.8399999,2496,0b0000100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),63500,-97.772499,30.500742,30.500742,-97.772499,61777,90641.59459
12,611,-97.772499,30.505239,,100,100,0,,91,7/5/24 21:48,374.0 secs,,0,0,0,85,0,0,0,0,0,0,6,0,0,9,,,,,,,,,,,,,,,,,,,,,611,-97.772499,30.505239,,100,100,0,,91,7/5/24 21:48,374.0 secs,,0,0,0,85,0,0,0,0,0,0,6,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.772499,30.505239,61777,1952.044806,6,90641.59459,30.505239,-97.772499,2022-12-15 21:31:39 UTC,291.2999878,0.88,61376,0b1110111111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),67967,-97.772499,30.505239,30.505239,-97.772499,61777,90641.59459
13,612,-97.772499,30.509735,,100,100,0,,82,7/5/24 22:33,2745.6 secs,,0,0,10,0,41,0,0,0,0,20,20,0,0,9,,,,,,,,,,,,,,,,,,,,,612,-97.772499,30.509735,,100,100,0,,82,7/5/24 22:33,2745.6 secs,,0,0,10,0,41,0,0,0,0,20,20,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.772499,30.509735,61777,2422.538867,6,90641.59459,30.509735,-97.772499,2023-01-08 03:45:29 UTC,278.4599915,1.88,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70681,-97.772499,30.509735,30.509735,-97.772499,61777,90641.59459
14,613,-97.767281,30.487252,,100,100,0,,81,7/5/24 23:06,1981.2 secs,,0,0,21,0,1,0,0,0,0,15,57,0,0,6,,,,,,,,,,,,,,,,,,,,,613,-97.767281,30.487252,,100,100,0,,81,7/5/24 23:06,1981.2 secs,,0,0,21,0,1,0,0,0,0,15,57,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.767281,30.487252,61777,1231.303561,6,90641.59459,30.487252,-97.767281,2024-04-18 19:29:12 UTC,288.4400024,2.3199999,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),57574,-97.767281,30.487252,30.487252,-97.767281,61777,90641.59459
15,614,-97.767281,30.491749,,100,100,0,,73,7/6/24 4:41,20085.8 secs,,0,0,15,0,13,0,1,0,0,27,37,0,0,7,,,,,,,,,,,,,,,,,,,,,614,-97.767281,30.491749,,100,100,0,,73,7/6/24 4:41,20085.8 secs,,0,0,15,0,13,0,1,0,0,27,37,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.767281,30.491749,61777,1259.584026,6,90641.59459,30.491749,-97.767281,2022-12-11 14:58:13 UTC,283.8599854,1.8,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),59055,-97.767281,30.491749,30.491749,-97.767281,61777,90641.59459
16,615,-97.767281,30.496245,,100,100,0,,81,7/6/24 4:45,202.7 secs,,0,0,10,0,14,0,1,0,0,31,38,0,0,6,,,,,,,,,,,,,,,,,,,,,615,-97.767281,30.496245,,100,100,0,,81,7/6/24 4:45,202.7 secs,,0,0,10,0,14,0,1,0,0,31,38,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.767281,30.496245,61777,1467.617173,6,90641.59459,30.496245,-97.767281,2022-07-05 05:53:08 UTC,301.1400146,2.1600001,19904,0b0100110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),61594,-97.767281,30.496245,30.496245,-97.767281,61777,90641.59459
17,616,-97.767281,30.500742,,100,100,0,,80,7/6/24 4:50,305.6 secs,,0,0,5,0,20,0,0,0,0,26,41,0,0,8,,,,,,,,,,,,,,,,,,,,,616,-97.767281,30.500742,,100,100,0,,80,7/6/24 4:50,305.6 secs,,0,0,5,0,20,0,0,0,0,26,41,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.767281,30.500742,61777,1793.99181,6,90641.59459,30.500742,-97.767281,2022-09-07 04:47:44 UTC,300.2399902,2.5599999,3520,0b0000110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),63031,-97.767281,30.500742,30.500742,-97.767281,61777,90641.59459
18,617,-97.767281,30.505239,,100,100,0,,80,7/6/24 4:53,204.6 secs,,0,0,37,0,2,0,0,0,0,0,35,0,18,8,,,,,,,,,,,,,,,,,,,,,617,-97.767281,30.505239,,100,100,0,,80,7/6/24 4:53,204.6 secs,,0,0,37,0,2,0,0,0,0,0,35,0,18,8,,,,,,,,,,,,,,,,,,,,,-97.767281,30.505239,61777,2186.321424,6,90641.59459,30.505239,-97.767281,2022-12-31 06:58:26 UTC,282.7200012,1.28,40640,0b1001111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b10,1 - 1.5 K (Good performance),67139,-97.767281,30.505239,30.505239,-97.767281,61777,90641.59459
19,618,-97.767281,30.509735,,100,100,0,,85,7/6/24 4:56,157.0 secs,,0,6,36,10,6,0,0,0,0,2,35,0,0,5,,,,,,,,,,,,,,,,,,,,,618,-97.767281,30.509735,,100,100,0,,85,7/6/24 4:56,157.0 secs,,0,6,36,10,6,0,0,0,0,2,35,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.767281,30.509735,61777,2614.989945,6,90641.59459,30.509735,-97.767281,2023-04-21 11:05:18 UTC,291.7999878,2.04,19904,0b0100110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70573,-97.767281,30.509735,30.509735,-97.767281,61777,90641.59459
20,619,-97.762063,30.487252,,100,100,0,,85,7/6/24 4:59,199.4 secs,,0,0,13,0,9,0,0,0,0,34,36,1,0,7,,,,,,,,,,,,,,,,,,,,,619,-97.762063,30.487252,,100,100,0,,85,7/6/24 4:59,199.4 secs,,0,0,13,0,9,0,0,0,0,34,36,1,0,7,,,,,,,,,,,,,,,,,,,,,-97.762063,30.487252,117987,1457.804488,6,90641.59459,30.487252,-97.762063,2023-01-23 06:15:02 UTC,277.519989,0.72,64448,0b1111101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),57182,-97.762063,30.487252,30.487252,-97.762063,117987,90641.59459
21,620,-97.762063,30.491749,,100,100,0,,85,7/6/24 5:01,131.2 secs,,0,0,59,0,14,0,0,0,0,15,5,0,0,7,,,,,,,,,,,,,,,,,,,,,620,-97.762063,30.491749,,100,100,0,,85,7/6/24 5:01,131.2 secs,,0,0,59,0,14,0,0,0,0,15,5,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.762063,30.491749,117987,1376.458065,6,90641.59459,30.491749,-97.762063,2023-04-13 14:17:55 UTC,293.3599854,1.36,40640,0b1001111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b10,1 - 1.5 K (Good performance),59282,-97.762063,30.491749,30.491749,-97.762063,117987,90641.59459
22,621,-97.762063,30.496245,,100,100,0,,80,7/6/24 5:05,219.3 secs,,0,0,12,0,31,0,0,0,0,31,18,0,0,8,,,,,,,,,,,,,,,,,,,,,621,-97.762063,30.496245,,100,100,0,,80,7/6/24 5:05,219.3 secs,,0,0,12,0,31,0,0,0,0,31,18,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.762063,30.496245,117987,1470.051427,6,90641.59459,30.496245,-97.762063,2023-12-25 08:48:16 UTC,282.1000061,0.84,56000,0b1101101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),61931,-97.762063,30.496245,30.496245,-97.762063,117987,90641.59459
23,622,-97.762063,30.500742,,100,100,0,,80,7/6/24 5:09,254.1 secs,,0,0,19,0,21,0,0,0,0,27,21,1,0,11,,,,,,,,,,,,,,,,,,,,,622,-97.762063,30.500742,,100,100,0,,80,7/6/24 5:09,254.1 secs,,0,0,19,0,21,0,0,0,0,27,21,1,0,11,,,,,,,,,,,,,,,,,,,,,-97.762063,30.500742,117987,1710.133518,6,90641.59459,30.500742,-97.762063,2022-07-28 05:10:39 UTC,300.9200134,3.04,3520,0b0000110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),63672,-97.762063,30.500742,30.500742,-97.762063,117987,90641.59459
24,623,-97.762063,30.505239,,100,100,0,,80,7/6/24 5:13,243.5 secs,,0,0,29,0,18,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,623,-97.762063,30.505239,,100,100,0,,80,7/6/24 5:13,243.5 secs,,0,0,29,0,18,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.762063,30.505239,117987,2045.763964,6,90641.59459,30.505239,-97.762063,2023-01-23 06:15:02 UTC,275.3999939,0.72,65472,0b1111111111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),67720,-97.762063,30.505239,30.505239,-97.762063,117987,90641.59459
25,624,-97.762063,30.509735,,100,100,0,,85,7/6/24 5:16,171.7 secs,,0,0,38,0,9,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,624,-97.762063,30.509735,,100,100,0,,85,7/6/24 5:16,171.7 secs,,0,0,38,0,9,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.762063,30.509735,117987,2437.701121,6,90641.59459,30.509735,-97.762063,2023-02-07 00:35:06 UTC,287.4200134,1.52,19136,0b0100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70966,-97.762063,30.509735,30.509735,-97.762063,117987,90641.59459
26,625,-97.756845,30.487252,,100,100,0,,85,7/6/24 5:18,96.6 secs,,0,0,42,0,0,0,0,0,0,0,51,0,0,7,,,,,,,,,,,,,,,,,,,,,625,-97.756845,30.487252,,100,100,0,,85,7/6/24 5:18,96.6 secs,,0,0,42,0,0,0,0,0,0,0,51,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.756845,30.487252,117987,998.5553399,6,90641.59459,30.487252,-97.756845,2023-03-26 05:35:55 UTC,284.7799988,1.48,40645,0b1001111011000101,0b01,"Pixel produced, nominal quality",0b01,Missing stripe pixel in bands 1 and 5,0b10,1 - 1.5 K (Good performance),57675,-97.756845,30.487252,30.487252,-97.756845,117987,90641.59459
27,626,-97.756845,30.491749,,100,100,0,,90,7/6/24 5:19,93.5 secs,,0,0,85,0,12,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,626,-97.756845,30.491749,,100,100,0,,90,7/6/24 5:19,93.5 secs,,0,0,85,0,12,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.756845,30.491749,117987,875.5612592,6,90641.59459,30.491749,-97.756845,2022-06-11 15:29:47 UTC,312.519989,2.24,20160,0b0100111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),59819,-97.756845,30.491749,30.491749,-97.756845,117987,90641.59459
28,627,-97.756845,30.496245,,100,100,0,,85,7/10/24 1:40,254.7 secs,,0,0,22,0,26,0,0,0,0,28,8,0,0,16,,,,,,,,,,,,,,,,,,,,,627,-97.756845,30.496245,,100,100,0,,85,7/10/24 1:40,254.7 secs,,0,0,22,0,26,0,0,0,0,28,8,0,0,16,,,,,,,,,,,,,,,,,,,,,-97.756845,30.496245,117987,1016.40237,6,90641.59459,30.496245,-97.756845,2024-07-02 13:42:57 UTC,305.1000061,2.2,19136,0b0100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),61245,-97.756845,30.496245,30.496245,-97.756845,117987,90641.59459
29,628,-97.756845,30.500742,,100,100,0,,80,7/10/24 1:57,1040.9 secs,,0,0,13,0,17,0,0,0,0,35,23,0,0,12,,,,,,,,,,,,,,,,,,,,,628,-97.756845,30.500742,,100,100,0,,80,7/10/24 1:57,1040.9 secs,,0,0,13,0,17,0,0,0,0,35,23,0,0,12,,,,,,,,,,,,,,,,,,,,,-97.756845,30.500742,117987,1340.384687,6,90641.59459,30.500742,-97.756845,2022-10-03 18:13:51 UTC,312.1799927,1.2,40896,0b1001111111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b10,1 - 1.5 K (Good performance),64021,-97.756845,30.500742,30.500742,-97.756845,117987,90641.59459
30,629,-97.756845,30.505239,,100,100,0,,80,7/10/24 2:02,263.9 secs,,0,0,10,0,16,0,0,0,0,24,33,0,0,17,,,,,,,,,,,,,,,,,,,,,629,-97.756845,30.505239,,100,100,0,,80,7/10/24 2:02,263.9 secs,,0,0,10,0,16,0,0,0,0,24,33,0,0,17,,,,,,,,,,,,,,,,,,,,,-97.756845,30.505239,117987,1748.506947,6,90641.59459,30.505239,-97.756845,2023-04-03 02:26:18 UTC,295.2999878,2,19904,0b0100110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),67001,-97.756845,30.505239,30.505239,-97.756845,117987,90641.59459
31,630,-97.756845,30.509735,,100,100,0,,80,7/10/24 2:04,149.2 secs,,0,0,15,4,0,0,0,0,4,0,64,0,5,8,,,,,,,,,,,,,,,,,,,,,630,-97.756845,30.509735,,100,100,0,,80,7/10/24 2:04,149.2 secs,,0,0,15,4,0,0,0,0,4,0,64,0,5,8,,,,,,,,,,,,,,,,,,,,,-97.756845,30.509735,117987,2194.2117,6,90641.59459,30.509735,-97.756845,2022-09-11 03:10:26 UTC,297.5599976,2.1600001,19904,0b0100110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70471,-97.756845,30.509735,30.509735,-97.756845,117987,90641.59459
32,631,-97.751627,30.487252,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,631,-97.751627,30.487252,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.487252,117987,609.0868107,6,90641.59459,30.487252,-97.751627,2024-01-13 09:43:05 UTC,276.0400085,0.76,56256,0b1101101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),58078,-97.751627,30.487252,30.487252,-97.751627,117987,90641.59459
33,632,-97.751627,30.491749,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,632,-97.751627,30.491749,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.491749,117987,374.8470165,6,90641.59459,30.491749,-97.751627,2022-08-09 00:18:07 UTC,308.1000061,2.8399999,3520,0b0000110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),59429,-97.751627,30.491749,30.491749,-97.751627,117987,90641.59459
34,633,-97.751627,30.496245,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,633,-97.751627,30.496245,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.496245,117987,637.9696955,6,90641.59459,30.496245,-97.751627,2022-06-19 20:26:44 UTC,328,2.3599999,20160,0b0100111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),61425,-97.751627,30.496245,30.496245,-97.751627,117987,90641.59459
35,634,-97.751627,30.500742,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,634,-97.751627,30.500742,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.500742,117987,1081.93875,6,90641.59459,30.500742,-97.751627,2022-05-08 13:14:44 UTC,293.7799988,1.72,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),64155,-97.751627,30.500742,30.500742,-97.751627,117987,90641.59459
36,635,-97.751627,30.505239,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,635,-97.751627,30.505239,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.505239,117987,1559.251645,6,90641.59459,30.505239,-97.751627,2022-06-01 03:40:16 UTC,299.0599976,2.2,19909,0b0100110111000101,0b01,"Pixel produced, nominal quality",0b01,Missing stripe pixel in bands 1 and 5,0b01,1.5 - 2 K (Marginal performance),67833,-97.751627,30.505239,30.505239,-97.751627,117987,90641.59459
37,636,-97.751627,30.509735,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,636,-97.751627,30.509735,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.509735,117987,2046.602778,6,90641.59459,30.509735,-97.751627,2024-05-24 20:59:30 UTC,304.5799866,3.0799999,1472,0b0000010111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),71814,-97.751627,30.509735,30.509735,-97.751627,117987,90641.59459
