center_lat,center_lon
30.498494,-97.764672
30.487252,-97.777717
30.491749,-97.777717
30.496245,-97.777717
30.500742,-97.777717
30.505239,-97.777717
30.509735,-97.777717
30.487252,-97.772499
30.491749,-97.772499
30.496245,-97.772499
30.500742,-97.772499
30.505239,-97.772499
30.509735,-97.772499
30.487252,-97.767281
30.491749,-97.767281
30.496245,-97.767281
30.500742,-97.767281
30.505239,-97.767281
30.509735,-97.767281
30.487252,-97.762063
30.491749,-97.762063
30.496245,-97.762063
30.500742,-97.762063
30.505239,-97.762063
30.509735,-97.762063
30.487252,-97.756845
30.491749,-97.756845
30.496245,-97.756845
30.500742,-97.756845
30.505239,-97.756845
30.509735,-97.756845
30.487252,-97.751627
30.491749,-97.751627
30.496245,-97.751627
30.500742,-97.751627
30.505239,-97.751627
30.509735,-97.751627
30.303585,-97.890358
30.292344,-97.903377
30.296841,-97.903377
30.301337,-97.903377
30.305834,-97.903377
30.31033,-97.903377
30.314827,-97.903377
30.292344,-97.898169
30.296841,-97.898169
30.301337,-97.898169
30.305834,-97.898169
30.31033,-97.898169
30.314827,-97.898169
30.292344,-97.892961
30.296841,-97.892961
30.301337,-97.892961
30.305834,-97.892961
30.31033,-97.892961
30.314827,-97.892961
30.292344,-97.887754
30.296841,-97.887754
30.301337,-97.887754
30.305834,-97.887754
30.31033,-97.887754
30.314827,-97.887754
30.292344,-97.882546
30.296841,-97.882546
30.301337,-97.882546
30.305834,-97.882546
30.31033,-97.882546
30.314827,-97.882546
30.292344,-97.877338
30.296841,-97.877338
30.301337,-97.877338
30.305834,-97.877338
30.31033,-97.877338
30.314827,-97.877338
30.255969,-97.908902
30.244727,-97.921915
30.249224,-97.921915
30.253721,-97.921915
30.258217,-97.921915
30.262714,-97.921915
30.26721,-97.921915
30.244727,-97.91671
30.249224,-97.91671
30.253721,-97.91671
30.258217,-97.91671
30.262714,-97.91671
30.26721,-97.91671
30.244727,-97.911505
30.249224,-97.911505
30.253721,-97.911505
30.258217,-97.911505
30.262714,-97.911505
30.26721,-97.911505
30.244727,-97.906299
30.249224,-97.906299
30.253721,-97.906299
30.258217,-97.906299
30.262714,-97.906299
30.26721,-97.906299
30.244727,-97.901094
30.249224,-97.901094
30.253721,-97.901094
30.258217,-97.901094
30.262714,-97.901094
30.26721,-97.901094
30.244727,-97.895889
30.249224,-97.895889
30.253721,-97.895889
30.258217,-97.895889
30.262714,-97.895889
30.26721,-97.895889
30.297068,-97.705786
30.285826,-97.718805
30.290323,-97.718805
30.29482,-97.718805
30.299316,-97.718805
30.303813,-97.718805
30.308309,-97.718805
30.285826,-97.713597
30.290323,-97.713597
30.29482,-97.713597
30.299316,-97.713597
30.303813,-97.713597
30.308309,-97.713597
30.285826,-97.70839
30.290323,-97.70839
30.29482,-97.70839
30.299316,-97.70839
30.303813,-97.70839
30.308309,-97.70839
30.285826,-97.703183
30.290323,-97.703183
30.29482,-97.703183
30.299316,-97.703183
30.303813,-97.703183
30.308309,-97.703183
30.285826,-97.697975
30.290323,-97.697975
30.29482,-97.697975
30.299316,-97.697975
30.303813,-97.697975
30.308309,-97.697975
30.285826,-97.692768
30.290323,-97.692768
30.29482,-97.692768
30.299316,-97.692768
30.303813,-97.692768
30.308309,-97.692768
30.512953,-97.763048
30.501711,-97.776095
30.506208,-97.776095
30.510704,-97.776095
30.515201,-97.776095
30.519697,-97.776095
30.524194,-97.776095
30.501711,-97.770876
30.506208,-97.770876
30.510704,-97.770876
30.515201,-97.770876
30.519697,-97.770876
30.524194,-97.770876
30.501711,-97.765658
30.506208,-97.765658
30.510704,-97.765658
30.515201,-97.765658
30.519697,-97.765658
30.524194,-97.765658
30.501711,-97.760439
30.506208,-97.760439
30.510704,-97.760439
30.515201,-97.760439
30.519697,-97.760439
30.524194,-97.760439
30.501711,-97.75522
30.506208,-97.75522
30.510704,-97.75522
30.515201,-97.75522
30.519697,-97.75522
30.524194,-97.75522
30.501711,-97.750001
30.506208,-97.750001
30.510704,-97.750001
30.515201,-97.750001
30.519697,-97.750001
30.524194,-97.750001
30.33708,-97.7088
30.32584,-97.7218
30.33033,-97.7218
30.33483,-97.7218
30.33933,-97.7218
30.34382,-97.7218
30.34832,-97.7218
30.32584,-97.7166
30.33033,-97.7166
30.33483,-97.7166
30.33933,-97.7166
30.34382,-97.7166
30.34832,-97.7166
30.32584,-97.7114
30.33033,-97.7114
30.33483,-97.7114
30.33933,-97.7114
30.34382,-97.7114
30.34832,-97.7114
30.32584,-97.7062
30.33033,-97.7062
30.33483,-97.7062
30.33933,-97.7062
30.34382,-97.7062
30.34832,-97.7062
30.32584,-97.701
30.33033,-97.701
30.33483,-97.701
30.33933,-97.701
30.34382,-97.701
30.34832,-97.701
30.32584,-97.6958
30.33033,-97.6958
30.33483,-97.6958
30.33933,-97.6958
30.34382,-97.6958
30.34832,-97.6958
30.20064491,-97.88769704
30.18940341,-97.9007025
30.19390001,-97.9007025
30.19839661,-97.9007025
30.20289321,-97.9007025
30.20738981,-97.9007025
30.21188641,-97.9007025
30.18940341,-97.89550032
30.19390001,-97.89550032
30.19839661,-97.89550032
30.20289321,-97.89550032
30.20738981,-97.89550032
30.21188641,-97.89550032
30.18940341,-97.89029813
30.19390001,-97.89029813
30.19839661,-97.89029813
30.20289321,-97.89029813
30.20738981,-97.89029813
30.21188641,-97.89029813
30.18940341,-97.88509594
30.19390001,-97.88509594
30.19839661,-97.88509594
30.20289321,-97.88509594
30.20738981,-97.88509594
30.21188641,-97.88509594
30.18940341,-97.87989376
30.19390001,-97.87989376
30.19839661,-97.87989376
30.20289321,-97.87989376
30.20738981,-97.87989376
30.21188641,-97.87989376
30.18940341,-97.87469157
30.19390001,-97.87469157
30.19839661,-97.87469157
30.20289321,-97.87469157
30.20738981,-97.87469157
30.21188641,-97.87469157
30.5454346,-97.74148063
30.53419309,-97.75453202
30.5386897,-97.75453202
30.5431863,-97.75453202
30.5476829,-97.75453202
30.5521795,-97.75453202
30.5566761,-97.75453202
30.53419309,-97.74931147
30.5386897,-97.74931147
